strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
AB1	True	AB1	None		False	CGC	20160408	-34.9300000	138.5900000	40.9623	None	Soil	None	D. Riddle & A. Bird	D. Riddle & A. Bird	1983-01-01	only year (1983) is known	Tc1 pattern VII	Adelaide
BRC20067	True	BRC20067	None		False	BRC	20160408	24.0729540	121.1697360	1999.99	None	Fruit	None	C.-Y. Kao	J. Wang	2012-01-13	None	None	
BRC20113	False	BRC20067	None		False	BRC	20170531	24.1241670	121.2830560	2810.48	None	Fruit	None	None	None	2014-05-09	None	None	
BRC20263	True	BRC20263	None		False	BRC	20170531	-33.8674861	151.2069889	19.1089	None	None	None	None	Sylvia & Volans	2014-08-04	None	None	Sydney
DR1344	False	CB4851	Bergerac BO		False	CGC	20160408	44.8500000	0.4800000	21.273	None	Soil	None	V. Nigon	V. Nigon	None	pre-1949	From the same culture as CB4851 but sent to Dougherty before 1967, then to D. Hirsch in 1977, frozen by D. Riddle	Bergerac
ECA243	True	CB4851	CB4851 (CGC)|CB4851_CGC|CB4851|N62		False	CGC	20160408	44.8500000	0.4800000	21.273	Urban garden	Soil	None	V. Nigon	V. Nigon	None	pre-1949	Isolated before 1949, kept in the laboratory of J. Brun for many years, N62 culture named and frozen by S. Brenner, same culture at RW7000. Tc1 pattern HCB.	Bergerac
RW7000	False	CB4851	None		False	CGC	20160408	44.8500000	0.4800000	21.273	Urban garden	Soil	None	V. Nigon	V. Nigon	None	pre-1949	From the same culture as CB4851 but sent to Dougherty before 1967, then to D. Hirsch in 1977, frozen by R. Waterston; RW subclone of Bergerac BO (Tc1 patternHCA)	Bergerac
CB4852	True	CB4852	N3		False	CGC	20160408	None	None	None	None	None	None	None	Unknown	None	pre-1966	Isolated by workers at Imperial College, London. Obtained by S. Brenner in 1966 and kept in liquid medium for three years before freezing	
JU1563	False	CB4852	O40.3.2		False	JU	20160408	48.7006000	2.1804000	64.0876	Rural garden	Rotting flower	None	M.-A. Félix	M.-A. Félix	2008-09-09	None	Isolated from rotting Petasites hybridus (bog rhubarb) stem/leaves, sampled in Orsay on 9 Sep 2008 ca.15:30, plated ca. 18:00, picked as adult on 11 Sep.	Orsay
CB3198	False	CB4853	PA2		False	CGC	20160408	34.1371200	-118.1253200	233.051	Urban garden	Flower	None	E. Hedgecock	E. Hedgecock	1973-01-01	only year (1973) is known	PA-2 strain, Isolated in the summer of 1973. Noted as identical to CB4853 by Hodgkin and Doniach.	Pasadena
DR1350	False	CB4853	PA2|CB3198		False	CGC	20160408	34.1371200	-118.1253200	233.051	Urban garden	Flower	None	E. Hedgecock	E. Hedgecock	1973-01-01	only year (1973) is known	PA-2 subclone, frozen by D. Riddle	Pasadena
ECA245	False	CB4853	CB4853 (CGC)|CB4853_CGC|GA12		False	CGC	20160408	34.1710000	-118.1310000	313.747	Urban garden	Vegetable	None	None	C. Johnson	1974-05-01	only month/year is known (May 1974)	Low copy Tc1; pattern III	Altadena
ECA246	True	CB4853	CB4853 (UK)|CB4853_UK|CB4853|GA12		False	CB	20160408	34.1890000	-118.1310000	407.128	Urban garden	Vegetable	None	None	C. Johnson	1974-05-01	only month/year is known (May 1974)	Low copy Tc1; pattern III	Altadena
CB3196	False	CB4854	GA13		False	CGC	20160408	None	None	None	Urban garden	Vegetable	None	C. Johnson	None	1974-05-01	only month/year is known (May 1974)	None	
CB3197	False	CB4854	GA23		False	CGC	20160408	None	None	None	Urban garden	Vegetable	None	C. Johnson	None	1974-05-01	only month/year is known (May 1974)	None	
CB4854	True	CB4854	GA9		False	CGC	20160408	34.1890000	-118.1310000	407.128	Urban garden	Vegetable	None	C. Johnson	C. Johnson	1973-12-01	only month/year is known (December 1973)	CGC says Isolated in May 1974 from vegetable garden on Garfias St, Altadena, California USA, Noted as identical to CB3198 by Hodgkin and Doniach. Hodgkin and Doniach say isolated December 1973	Altadena
ECA248	True	CB4855	CB4855 (UK)|CB4855_UK|CB4855|Cal-5|Sta-5		False	CB	20160408	37.4400000	-122.1400000	7.72475	Urban garden	Compost	None	None	T. Doniach	1982-01-01	only year (1982) is known	Low copy Tc1, pattern VI	Palo Alto
CB4856	True	CB4856	CB4856 (CGC #3)|CB4856_CGC_3|CB4856_CGC|CB4856		False	CGC	20160408	21.3300000	-157.8600000	60.4026	Rural garden	Fruit	None	L. Hollen	L. Hollen	1972-08-01	None	Isolated from an unknown Hawaiian island pineapple field	Honolulu
ECA260	False	CB4856	Kammenga CB4856		False	WN	20160408	21.3300000	-157.8600000	60.4026	Rural garden	Fruit	None	L. Hollen	L. Hollen	1972-08-01	None	Isolated from an unknown Hawaiian island pineapple field	Honolulu
CB3199	False	CB4857	PA3		False	CGC	20160408	34.1371200	-118.1253200	233.051	Urban garden	Flower	None	E. Hedgecock	None	1973-01-01	only year (1973) is known	isolated in the summer of 1973	Pasadena
DR1345	False	CB4857	None		False	CGC	20160408	34.0960000	-117.7190000	354.935	None	Rotting fungus	None	E. Hedgecock	E. Hedgecock	1972-11-01	only month/year is known (November 1972)	DRiddle subclone of Cl2a (Tc1 patternII)	Claremont
ECA249	False	CB4857	CB4857 (CGC)|CB4857_CGC|CB4857|Cl2a		False	CB	20160408	34.0960000	-117.7190000	354.935	None	Rotting fungus	None	None	E. Hedgecock	1972-11-01	only month/year is known (November 1972)	Low copy Tc1, pattern II	Claremont
ECA250	True	CB4857	CB4857 (UK)|CB4857_UK|Cl2a		False	CB	20160408	34.0960000	-117.7190000	354.935	None	Rotting fungus	None	None	E. Hedgecock	1972-11-01	only month/year is known (November 1972)	Low copy Tc1, pattern II	Claremont
AB2	False	CB4858	None		False	CGC	20160408	-34.9300000	138.5900000	40.9623	None	Soil	None	D. Riddle & A. Bird	D. Riddle & A. Bird	1983-01-01	only year (1983) is known	Sampled at the Australian Wine Institute grounds	Adelaide
AB3	False	CB4858	None		False	CGC	20160408	-34.9300000	138.5900000	40.9623	None	Soil	None	D. Riddle & A. Bird	D. Riddle & A. Bird	1983-01-01	only year (1983) is known	Sampled at the Waite Agricultural Research Institue nursery plots	Adelaide
AB4	False	CB4858	None		False	CGC	20160408	-34.9300000	138.5900000	40.9623	None	Soil	None	D. Riddle & A. Bird	D. Riddle & A. Bird	1983-01-01	only year (1983) is known	Tc1 pattern VIII	Adelaide
CX11258	False	CB4858	HEY-001		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
CX11278	False	CB4858	HEY-009		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
CX11305	False	CB4858	HEY-004		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
CX11317	False	CB4858	HEY-042		False	CX	20160408	34.1353100	-118.3058200	390.213	Urban garden	Soil	None	A. Sivasundar	A. Sivasundar	2003-09-01	exact location in park is unknown	isolated in Griffith Park	Los Angeles
ECA247	False	CB4858	CB4855 (CGC)|CB4855_CGC|Cal-5|Sta-5		False	CGC	20160408	37.4300000	-122.1300000	6.15516	Urban garden	Compost	None	None	T. Doniach	1982-01-01	only year (1982) is known	Low copy Tc1, pattern VI	Palo Alto
